time_sec,node_id,temperature,alert
2.516,2,3,0
2.628,4,52,0
2.662,1,92,1
2.995,5,8,0
3.179,3,60,0
4.516,2,18,0
4.628,4,30,0
4.662,1,40,0
4.995,5,-17,0
5.179,3,52,0
6.516,2,60,0
6.629,4,-40,0
6.662,1,7,0
6.995,5,78,1
7.179,3,73,1
8.516,2,74,1
8.629,4,-31,0
8.662,1,11,0
8.995,5,52,0
9.179,3,72,1
10.516,2,-19,0
10.628,4,37,0
10.662,1,-17,0
10.995,5,-30,0
11.179,3,19,0
12.516,2,42,0
12.628,4,98,1
12.662,1,79,1
12.995,5,61,1
13.179,3,50,0
14.516,2,-14,0
14.629,4,100,1
14.662,1,42,0
14.995,5,-20,0
15.179,3,56,0
16.516,2,92,1
16.628,4,30,0
16.662,1,48,0
16.995,5,94,1
17.179,3,71,1
18.516,2,21,0
18.628,4,10,0
18.662,1,6,0
18.995,5,0,0
19.179,3,76,1
20.516,2,45,0
20.628,4,50,0
20.662,1,-6,0
20.995,5,0,0
21.179,3,80,1
22.516,2,6,0
22.628,4,83,1
22.662,1,46,0
22.995,5,-2,0
23.179,3,67,1
24.516,2,23,0
24.628,4,71,1
24.662,1,21,0
24.995,5,77,1
25.18,3,-36,0
26.516,2,40,0
26.628,4,29,0
26.662,1,86,1
26.995,5,-1,0
27.179,3,55,0
28.516,2,25,0
28.628,4,34,0
28.662,1,83,1
28.995,5,57,0
29.18,3,-13,0
30.516,2,32,0
30.628,4,50,0
30.662,1,74,1
30.995,5,8,0
31.179,3,51,0
32.516,2,-10,0
32.629,4,-15,0
32.662,1,98,1
32.995,5,88,1
33.179,3,93,1
34.516,2,93,1
34.628,4,48,0
34.662,1,83,1
34.995,5,58,0
35.18,3,100,1
36.516,2,56,0
36.628,4,-1,0
36.662,1,24,0
36.995,5,76,1
37.18,3,-33,0
38.516,2,63,1
38.628,4,60,0
38.662,1,-3,0
38.995,5,0,0
39.18,3,100,1
40.516,2,93,1
40.628,4,17,0
40.662,1,58,0
40.995,5,52,0
41.18,3,-18,0
42.516,2,16,0
42.628,4,53,0
42.662,1,68,1
42.995,5,1,0
43.18,3,-16,0
44.516,2,60,0
44.628,4,-8,0
44.662,1,74,1
44.995,5,100,1
45.179,3,6,0
46.516,2,31,0
46.628,4,31,0
46.662,1,21,0
46.995,5,61,1
47.18,3,-44,0
48.516,2,58,0
48.628,4,-1,0
48.662,1,100,1
48.995,5,40,0
49.18,3,-22,0
50.516,2,94,1
50.628,4,-7,0
50.662,1,31,0
50.995,5,56,0
51.179,3,11,0
52.516,2,6,0
52.628,4,7,0
52.662,1,28,0
52.995,5,-15,0
53.18,3,-36,0
54.516,2,20,0
54.629,4,-24,0
54.662,1,22,0
54.995,5,100,1
55.179,3,-2,0
56.516,2,13,0
56.629,4,-31,0
56.662,1,21,0
56.995,5,42,0
57.18,3,-19,0
58.516,2,38,0
58.628,4,-8,0
58.662,1,-6,0
58.995,5,72,1
59.179,3,78,1
60.516,2,2,0
60.628,4,37,0
60.662,1,43,0
60.995,5,77,1
61.179,3,-3,0
62.516,2,48,0
62.629,4,-41,0
62.662,1,30,0
62.995,5,58,0
63.18,3,-19,0
64.516,2,-12,0
64.628,4,51,0
64.662,1,40,0
64.995,5,-1,0
65.179,3,62,1
66.516,2,44,0
66.628,4,23,0
66.662,1,57,0
66.995,5,75,1
67.179,3,76,1
68.516,2,57,0
68.628,4,85,1
68.662,1,23,0
68.995,5,79,1
69.179,3,51,0
70.516,2,48,0
70.628,4,-7,0
70.662,1,100,1
70.995,5,71,1
71.18,3,-20,0
72.516,2,30,0
72.628,4,36,0
72.662,1,100,1
72.995,5,-38,0
73.179,3,41,0
74.516,2,78,1
74.628,4,68,1
74.662,1,75,1
74.995,5,-30,0
75.179,3,0,0
76.51599999999999,2,-8,0
76.629,4,100,1
76.662,1,39,0
76.995,5,57,0
77.18,3,-15,0
78.51599999999999,2,2,0
78.628,4,0,0
78.662,1,84,1
78.995,5,-1,0
79.179,3,1,0
80.51599999999999,2,7,0
80.629,4,-25,0
80.662,1,21,0
80.995,5,-19,0
81.179,3,54,0
82.51599999999999,2,53,0
82.629,4,100,1
